"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3882","SN 2006pb","00:46:43.550","-01:01:58.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2006-10-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3881","SN 2006pa","02:32:23.950","-00:42:48.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-10-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia?  ]",""
"3878","SN 2006oy","20:53:58.301","-00:21:36.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2006-10-12 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3876","SN 2006ow","07:35:37.440","+66:24:50.00","SN Ia","","UGC 3908        ","","","","","","","","","0","1","","17.7","","2006-11-26 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 759; PositionRef=IAUC 8781; Orig Type=Ia   ]",""
"3874","SN 2006ou","11:37:13.099","+15:26:07.30","SN Ia","","UGC 6588        ","","","","","","","","","0","1","","16","","2006-11-22 00:00:00.000","","[Discoverer=Puckett, Peoples; DiscoveryRef=CBET 755; PositionRef=IAUC 8781; Orig Type=Ia   ]",""
"3873","SN 2006ot","02:15:04.841","-20:45:58.21","SN Ia","","ESO 544-G31     ","","","","","","","","","0","1","","17.4","","2006-11-22 00:00:00.000","","[Discoverer=LOSS (Joubert, Li); DiscoveryRef=CBET 754; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3872","SN 2006os","02:55:01.010","+16:00:34.81","SN Ia","","UGC 2384        ","","","","","","","","","0","1","","17.2","","2006-11-21 00:00:00.000","","[Discoverer=Quimby, Castro; DiscoveryRef=CBET 751; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3871","SN 2006or","11:48:03.470","+30:21:24.01","SN Ia","","NGC 3891        ","","","","","","","","","0","1","","16.3","","2006-11-18 00:00:00.000","","[Discoverer=Puckett, Kroes; DiscoveryRef=CBET 749; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3870","SN 2006oq","11:44:00.070","+19:58:38.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.8","","2006-11-17 00:00:00.000","","[Discoverer=Christensen; DiscoveryRef=CBET 748; PositionRef=IAUC 8778; Orig Type=Ia   ]",""
"3869","SN 2006op","21:21:31.860","+00:59:35.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-11-17 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia?  ]",""
"3868","SN 2006oo","21:59:47.230","-00:43:59.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3867","SN 2006on","21:55:58.490","-01:04:12.68","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.7","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3866","SN 2006om","01:22:18.881","+01:00:38.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
