"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"46032","SN 2019rra","16:38:39.364","+33:40:41.41","SN IIP","0.037","SDSS J163839.41+334042.1","0.087","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; ZTF","ZTF19acbwmqd","ATLAS1 - ACAM1, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","18.5791","g-ZTF","2019-10-02 03:26:10.000","ALeRCE","",""
"45953","SN 2019roa","07:49:16.070","+09:11:32.89","SN IIP","0.031","","","ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF, None","ATLAS; GaiaAlerts; ZTF","ZTF19acbhvgi","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT, P60 - SEDM","1","1","","18.61","g-ZTF","2019-09-25 11:48:35.000","ZTF_AMPEL_COMPLETE","",""
"45058","SN 2019qft","20:20:54.311","-10:25:37.34","SN IIP","0.033","2MASX J20205420-1025363","","ALeRCE, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ALeRCE; ATLAS; Pan-STARRS1","ZTF19abzgdfu","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","Lick-3m - KAST","1","1","","19.381","g-ZTF","2019-09-17 04:58:10.000","ALeRCE","",""
"44771","SN 2019puv","19:12:36.670","-19:25:01.63","SN IIP","0.02","","","GaiaAlerts, ZTF, Pan-STARRS1, ATLAS","GaiaAlerts, ZTF, Pan-STARRS1, ATLAS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","Gaia19dzm","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.53","G-Gaia","2019-09-07 22:36:28.000","Gaia_Bot1","",""
"44261","SN 2019pbm","07:36:52.822","+58:58:04.69","SN IIP","0.0379","","","ZTF","ZTF","ZTF","ZTF","ZTF19abqyoxj","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.29","r-ZTF","2019-08-21 11:47:25.000","ZTF_AMPEL_COMPLETE","",""
"44259","SN 2019pbk","07:46:23.898","+64:13:23.81","SN IIP","0.045","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","ZTF","Pan-STARRS1; ZTF","ZTF19abqyouo","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.82","r-ZTF","2019-08-21 11:47:25.000","ZTF_AMPEL_COMPLETE","",""
"44065","SN 2019oua","04:13:13.070","-12:20:18.06","SN IIP","0.0319","LCSB S0681O","0.031902","ALeRCE, ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","ZTF, ATLAS, GaiaAlerts, Pan-STARRS1","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF19abtslqm","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","17.9464","g-ZTF","2019-08-27 11:05:46.000","ALeRCE","",""
"43924","SN 2019oop","23:37:49.842","-24:24:18.27","SN IIP","0.053741","2MASX J23375044-2424223","0.053741","ALeRCE, Pan-STARRS1, ATLAS, ZTF","ZTF, Pan-STARRS1, ATLAS","ePESSTO+, ZTF","ALeRCE; ATLAS; Pan-STARRS1; ZTF","ZTF19abrtjsf","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, P60 - SEDM","1","1","","18.5154","r-ZTF","2019-08-25 09:23:34.000","ALeRCE","",""
"42377","SN 2019mhm","19:11:23.980","-57:03:18.58","SN IIP","0.01057","NGC6753","","BOSS, GaiaAlerts","BOSS, GaiaAlerts","None","BOSS; GaiaAlerts","","Gaia - Gaia-photometric, Other - Other","LCO-duPont - WFCCD","1","1","","16.6","Clear-","2019-08-02 13:13:21.000","Bock","",""
"42102","SN 2019lwy","20:38:06.431","+06:40:59.38","SN IIP","0.133","","","","","BTDG","BTDG","","P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","19.97","r-ZTF","2019-05-31 10:07:30.000","Gomez","",""
